Name,CID,CSID,smiles,melt_point_C
"N-Acetyl-2-deoxy-2-amino-galactose
",84265,,CC(=O)N[C@@H]1[C@H]([C@H]([C@H](O[C@@H]1O)CO)O)O,172
"Cellose
",439178,,C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](OC([C@@H]([C@H]2O)O)O)CO)O)O)O)O,240
"Methyl alpha-D-glucopyranoside
",64947,,CO[C@@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O,168
"Cellobiose
",294,,C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O,265
"D-Glucopyranose, pentaacetate
",10293747,,CC(=O)OC[C@@H]1[C@H]([C@@H]([C@H](C(O1)OC(=O)C)OC(=O)C)OC(=O)C)OC(=O)C,124
"D-Maltose
",10991489,,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@@H]([C@H]([C@H]2O)O)O)CO)O)O)O)O,102
"2-Deoxy-D-galactose
",225612,,C(C=O)C(C(C(CO)O)O)O,135
"Methyl beta-D-glucopyranoside
",445238,,CO[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O,109
"Reductone
",4451502,,C(=O)C(C=O)O,143
"Silmurin
",441871,,CC(=O)O[C@@H]1C[C@@]2([C@H](CC[C@]3([C@@]2(CC[C@@H]3C4=COC(=O)C=C4)O)C)[C@@]5(C1=C[C@H](CC5)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)C)O,169
"[3,4,5-Trihydroxy-6-(hydroxymethyl)oxan-2-yl] 3,4,5-trihydroxybenzoate
",4628122,,C1=C(C=C(C(=C1O)O)O)C(=O)OC2C(C(C(C(O2)CO)O)O)O,205
"1-o-p-Coumaroyl-beta-d-glucose
",14158116,,C1=CC(=CC=C1/C=C/C(=O)OC2C(C(C(C(O2)CO)O)O)O)O,212
"Linamarin
",11128,,CC(C)(C#N)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O,143
"Arbutin
",440936,,C1=CC(=CC=C1O)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O,199
"alpha-Lactose
",84571,,C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](O[C@@H]([C@@H]([C@H]2O)O)O)CO)O)O)O)O,201
"6-O-p-Coumaroyl-D-glucose
",13915664,,C1=CC(=CC=C1/C=C/C(=O)OCC2C(C(C(C(O2)O)O)O)O)O,185
"Chloralose
",7057995,,C([C@H]([C@@H]1[C@@H]([C@@H]2[C@H](O1)O[C@@H](O2)C(Cl)(Cl)Cl)O)O)O,183
"1,5-Anhydro-D-glucitol
",64960,,C1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O,142
"Scilliroside
",62354,,CC(=O)OC1CC2(C(CCC3(C2(CCC3C4=COC(=O)C=C4)O)C)C5(C1=CC(CC5)OC6C(C(C(C(O6)CO)O)O)O)C)O,169
"Maltose
",439341,,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@@H]([C@@H]([C@H]2O)O)O)CO)O)O)O)O,240
"2-Deoxy-2-(3-methyl-3-nitrosoureido)-D-glucopyranose
",2733335,,CN(C(=O)N[C@@H]1[C@H]([C@@H]([C@H](OC1O)CO)O)O)N=O,115
"Streptozocin
",29327,,CN(C(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@@H]1O)CO)O)O)N=O,115
"alpha-D-Glucopyranoside, methyl
",2108,,COC1C(C(C(C(O1)CO)O)O)O,168
"Lidocaine hydrochloride
",6314,,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C.Cl,78
"1,2,3,6-Tetragalloyl-beta-D-glucopyranose
",5153644,,C1=C(C=C(C(=C1O)O)O)C(=O)OCC2C(C(C(C(O2)OC(=O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O)OC(=O)C5=CC(=C(C(=C5)O)O)O)O,250
"1,2,4,6-Tetragalloyl-beta-D-glucopyranose
",14464350,,C1=C(C=C(C(=C1O)O)O)C(=O)OCC2C(C(C(C(O2)OC(=O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O)O)OC(=O)C5=CC(=C(C(=C5)O)O)O,250
"Arbutoside
",346,,C1=CC(=CC=C1O)OC2C(C(C(C(O2)CO)O)O)O,142
"2-O-p-Coumaroyl-D-glucose
",14034264,,C1=CC(=CC=C1/C=C/C(=O)OC2C(C(C(OC2O)CO)O)O)O,205
"D(+)-Cellobiose, 98%
",57370084,,C(C1[C@H]([C@@H](C([C@@H](O1)O[C@H]2[C@@H](C(C(OC2CO)O)O)O)O)O)O)O,240
"Serotinose
",4474425,,C1C(C(C(C(O1)OCC2C(C(C(C(O2)O)O)O)O)O)O)O,200
